USDC Euler,DAI Euler,WETH Euler,WBTC Euler,Date
0.0022229951433884,0.0,7.038932806128641e-05,7.916422297023184e-05,2021-12-13
0.0125153227890484,0.0026318837108045,0.0018891895666557,9.876463877308674e-06,2021-12-14
0.0136176737963197,0.0026015911402393,0.0051109196990297,7.29693180052181e-06,2021-12-15
0.0131711310703949,0.0161251480633963,0.0111571727994547,1.097364560332005e-05,2021-12-16
0.0165091074801808,0.0092992294842266,0.0120872439724776,4.4984274964235e-05,2021-12-17
0.0256054524517343,0.0171369211275968,0.0084457379992567,0.0005972814709326,2021-12-18
0.026580876364422,0.0217195311748966,0.0087188056837866,0.0009091702312539,2021-12-19
0.0236177096030453,0.023046120956681,0.0098331163035383,0.0002286935211072,2021-12-23
0.0219054628088655,0.0228642470952097,0.0090937432257295,0.0003688482894897,2021-12-25
0.0218828418529808,0.0232302409846619,0.0115814532196194,0.0004005355259369,2021-12-28
0.0212005749066574,0.0246529855818576,0.0130017249360109,0.0006403880092956,2022-01-01
0.0209943600917418,0.024775845442404,0.0131969020479943,0.0005502547537726,2022-01-02
0.0205913075398057,0.0189963612626428,0.0122046030106112,0.0110551132152541,2022-01-07
0.0198173990002045,0.0191761212804281,0.0134506819151249,0.0055644285167528,2022-01-08
0.0208591677020737,0.0299152455116388,0.0118445355536139,0.0005290298901914,2022-01-17
0.0207419141491482,0.0456255838621296,0.0122894350171542,0.0003940110972694,2022-01-18
0.0191457924876613,0.0265511989396086,0.0166879474174681,0.0027498453265088,2022-01-29
0.0203022858718565,0.0240920153656386,0.0138662918448008,0.0016929612973851,2022-02-01
0.0204208383134757,0.0241474391322224,0.013913407259109,0.001810131867216,2022-02-02
0.022279264459888,0.0265416513999481,0.018615286577592,0.0019824020348642,2022-02-04
0.0249595395633423,0.0262024304373349,0.0216947863230835,0.0019794757574983,2022-02-05
0.0256029163941731,0.0260382983438389,0.0218108379870555,0.001973145470751,2022-02-06
0.0253153501486532,0.027409404976552,0.0234022314742199,0.0015739531554339,2022-02-09
0.0232575763617165,0.0260533882610619,0.0217200943853203,0.0012767323469309,2022-02-12
0.0232290665546318,0.0234414396282861,0.0175323493295942,0.0010228815710504,2022-02-14
0.0228559674386467,0.0245810278087955,0.014368676753346,0.0010543693118135,2022-02-15
